GCF_000422825.1 WP_028660106.1
GCF_900112345.1 WP_091126147.1
GCF_000416365.2 WP_003879872.1
GCF_001815745.1 WP_083304410.1
GCF_002117935.1 WP_085872309.1
GCF_000964005.1 WP_045824230.1
GCF_001426245.1 WP_082553257.1
GCF_000332815.1 WP_009357567.1
GCF_000819445.1 WP_040086188.1
GCF_001956915.1 WP_083707315.1
